nikoniko_recipe_27,つぼみ菜,200g ,しめじ,80g,アサリむき身,80g,パスタ,400ｇ,オリーブ油,大さじ2,コンソメ,小さじ2,,,,,,,,,,
nikoniko_recipe_28,アスパラガス,8本,いぶりがっこ,5枚,卵,2個,ハム,4枚,マヨネーズ,大さじ2,酢,大さじ1,砂糖,お好みで少々,,,,,,,,
nikoniko_recipe_29,八木にんにく,200ｇ,濃口しょうゆ,360cc,米こうじ,200ｇ,ざらめ,200ｇ,,,,,,,,,,,,,,
nikoniko_recipe_30,なす,4本,トマト,1個,玉ねぎ,1/2個,小ネギ,3本,青じそ,2枚,みょうが,2個,,,,,,,,,,
nikoniko_recipe_31,枝豆,100g,水,400cc,牛乳,50cc,玉ねぎ,中1/2個,ジャガイモ,中1個,無塩バター,20g,コンソメ顆粒,小さじ3,塩,少々,こしょう,少々,,,,
nikoniko_recipe_32,モロヘイヤ,1束,大根,中1/2本,梅干し,小4個,ポン酢,大さじ4,ごま油,大さじ2,ボイルエビ,8尾,そうめん,100g*4,めんつゆ（3倍濃縮）,大さじ4,水,200cc,,,,
nikoniko_recipe_33,大根,1/4本,にんじん,1/4本,きゅうり,1本,砂糖,小さじ1/2,塩,1つまみ,酢,大さじ1,ツナ,1/2缶,しょうゆ,小さじ2,,,,,,
nikoniko_recipe_34,そば（乾）,500～600g,木綿豆腐,1丁,しょうが,1かけ,パプリカ赤・黄,各1/4個,きぬさや,5枚,鶏ひき肉,80g,オリーブ油,大さじ2,,,,,,,,
nikoniko_recipe_35,切り餅,4個,鶏肉,120ｇ,まいたけ,40ｇ,しいたけ,小4個,三つ葉,20g,板かまぼこ,4切れ,だし汁（昆布・鰹節）,800cc,酒・薄口しょうゆ,大さじ2,みりん,小さじ1,塩,小さじ1/3,,
nikoniko_recipe_36,ホワイトアスパラガス,8本,にんじん,1本,コーン,120g,絹ごし豆腐,150g,パセリ,1g,卵,1個,バター,8g,とろけるチーズ,60g,顆粒コンソメ,大さじ1,塩,小さじ1/3,こしょう,少々
nikoniko_recipe_37,雪の下ニンジン,200g,玉ねぎ,100g,ごはん,80g,バター,20ｇ,水,400ｍｌ,牛乳,400ｍｌ,塩・こしょう,少々,生クリーム,適宜,固形コンソメ,1と1/2個,パセリみじん切り,少々,,
nikoniko_recipe_38,ふきのとう,200ｇ,シイタケ,8枚,長芋,300g,オリーブ油,大さじ1,くるみ,30g,,,,,,,,,,,,
nikoniko_recipe_39,春巻きの皮,4枚,アスパラ,4本,ベーコン,4枚,とろけるチーズ,15g,揚げ油,適量,,,,,,,,,,,,
